Timestamp,Please read the consent form and select I agree to continue,UserId,Gender,Age,What is the highest level of education you have completed? ,Nationality,Your interest in music?,Have you had formal training or education related to music?,"If yes, which instrument (or singing) and for how many years?",How many hours in a day do you listen to music?,What kind of music do you like to listen to the most? ,What kind of music do you like to listen to when you feel low? ,Do you listen to music in the background while working? [Choice],When I listen to music I get stuck in bad memories [Choice],"I hide in my music because nobody understands me, and it blocks people out [Choice]",Music helps me relax [Choice],When I try to use music to feel better I actually end up feeling worse [Choice],I feel happier after playing or listening to music [Choice],Music gives me the energy to get going [Choice],I like to listen to songs over and over even though it makes me feel worse [Choice],Music makes me feel bad about who I am [Choice],Music helps me to connect with other people who are like me [Choice],Music gives me an excuse not to face up to the real world [Choice],It can be hard to stop listening to music that connects me to bad memories [Choice],Music leads me to do things I shouldn’t do [Choice],When I’m feeling tense or tired in my body music helps me relax [Choice],"In the past 4 weeks, how often did you feel tired out for no good reason?  [Choice]","In the past 4 weeks, how often did you feel nervous? [Choice]","In the past 4 weeks, how often did you feel so nervous that nothing could calm you down?     [Choice]","In the past 4 weeks, how often did you feel hopeless? [Choice]","In the past 4 weeks, how often did you feel restless or fidgety?  [Choice]","In the past 4 weeks, how often did you feel so restless you could not sit still?  [Choice]","In the past 4 weeks, how often did you feel depressed? [Choice]","In the past 4 weeks, how often did you feel that everything was an effort?  [Choice]","In the past 4 weeks, how often did you feel so sad that nothing could cheer you up? [Choice]","In the past 4 weeks, how often did you feel worthless? [Choice]",Am the life of the party. [Choice],Sympathize with others’ feelings. [Choice],Get chores done right away.  [Choice],Have frequent mood swings. [Choice],Have a vivid imagination. [Choice],Don’t talk a lot. [Choice],Am not interested in other people’s problems. [Choice],Often forget to put things back in their proper place. [Choice],Am relaxed most of the time. [Choice],Am not interested in abstract ideas. [Choice],Talk to a lot of different people at parties. [Choice],Feel others’ emotions. [Choice],Like order. [Choice],Get upset easily. [Choice],I Have difficulty understanding abstract ideas. [Choice],Keep in the background. [Choice],Am not really interested in others. [Choice],Make a mess of things. [Choice],Seldom feel blue. [Choice],Do not have a good imagination. [Choice],How has your music use pattern changed over the past one year?,How would you compare your well-being one year ago and now?,Unhealthy,Healthy,K-10,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
2019/03/26 5:33:21 PM GMT+5:30,I Agree,3ad75c8470fd0ec86d864368719b27bc,Female,18,High School graduate,Brazil,Enthusiastic,Yes,Guitar for almost three years,4,Mixed,jazz,Always,Sometimes,Rarely,Often,Sometimes,Often,Often,Never,Never,Often,Never,Sometimes,Never,Often,Most of the time,All of the time,A little of the time,Some of the time,A little of the time,Some of the time,Most of the time,A little of the time,Some of the time,Most of the time,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,"It's almost the same, I'm just listening to more hip hop",I feel more or less the same.,15,20,32,4.75,2.75,4.5,4.5,3.25
2019/03/26 5:38:46 PM GMT+5:30,I Agree,a0d81eb2343d1b7efc7a3322cf6a0f55,Male,29,High School graduate,Sweden,Enthusiastic,No,,2,Mixed,Mixed,Rarely,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Rarely,Never,Never,Never,Rarely,Some of the time,Some of the time,None of the time,Some of the time,A little of the time,Some of the time,None of the time,A little of the time,None of the time,A little of the time,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,It hasn't ,I feel more or less the same.,11,13,21,4,2,1.5,1.75,3
2019/03/26 5:39:44 PM GMT+5:30,I Agree,8340da27576704b69814cfb437bdbbd7,Male,24,Master's degree,United States,Enthusiastic,Yes,Piano for 5 years,3,rock,jazz,Always,Always,Never,Often,Never,Always,Always,Always,Rarely,Often,Sometimes,Sometimes,Never,Always,Some of the time,A little of the time,None of the time,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,A little of the time,Most of the time,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,"I listen to more music during the summer months, then during the rest of the year when I teach from 7:00 -17:00",I feel more or less the same.,21,23,28,4.25,2.75,2.75,3.75,3.25
2019/03/26 5:49:29 PM GMT+5:30,I Agree,77daa7ca91df3700ae6769956a7aa0bb,Male,15,High School graduate,Sweden,Enthusiastic,No,,9,rock,pop,Sometimes,Rarely,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Never,Sometimes,Most of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,All of the time,All of the time,Most of the time,Most of the time,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,I listen to more music now than I did a year ago.,I feel worse now,12,15,40,4,2.25,3.5,4.25,4.75
2019/03/26 6:04:03 PM GMT+5:30,I Agree,4bc119edbaf29e01e9b28aa0ce9b4929,Male,27,Bachelor's degree,South Africa,Enthusiastic,Yes,Guitar - 1 year,9,jazz,classical,Always,Rarely,Often,Always,Never,Always,Often,Never,Never,Always,Often,Never,Never,Often,Most of the time,Some of the time,Some of the time,Most of the time,Most of the time,None of the time,Most of the time,A little of the time,Some of the time,Some of the time,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,"I have branched out a little more as I have saturated my favourite genres (mostly). I think I have also enjoyed metal music more, especially in light of a depressed state.",I feel more or less the same.,15,23,31,4.75,4.5,2.5,2.5,3
2019/03/26 6:15:34 PM GMT+5:30,I Agree,d90d63bb025cf4b9d4aa3257a036dee0,Male,19,High School graduate,Singapore,Enthusiastic,No,,2,Mixed,jazz,Rarely,Rarely,Never,Always,Rarely,Often,Often,Rarely,Rarely,Always,Never,Never,Never,Often,A little of the time,Some of the time,A little of the time,A little of the time,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,More hiphop,I feel more or less the same.,12,22,22,4,3.5,2.25,3.25,3.25
2019/03/26 6:18:43 PM GMT+5:30,I Agree,094137d715006a421c17785efff2b7ff,Male,35,Professional degree,United Kingdom,Enthusiastic,No,,2,rock,rock,Sometimes,Never,Never,Often,Often,Often,Sometimes,Never,Never,Rarely,Never,Never,Never,Often,A little of the time,A little of the time,None of the time,Some of the time,None of the time,None of the time,Some of the time,A little of the time,A little of the time,None of the time,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,More ambient,I feel more or less the same.,11,17,18,5,3.5,2.5,3.75,2.25
2019/03/26 6:56:01 PM GMT+5:30,I Agree,f37b1690d6b18b184624117e6a2544e5,Female,23,High School graduate,United States,Enthusiastic,Yes,Trumpet/piano 4 years,3,classical,jazz,Often,Rarely,Never,Often,Never,Often,Sometimes,Never,Never,Often,Never,Never,Never,Sometimes,A little of the time,A little of the time,None of the time,A little of the time,Most of the time,None of the time,A little of the time,None of the time,None of the time,A little of the time,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,I listen a lot more now,I feel better now,9,18,18,4,2.5,1.75,4.5,3
2019/03/26 7:00:47 PM GMT+5:30,I Agree,3e8703ebe6c7c7d66f5129fe22dd1b49,Male,28,Master's degree,China,Enthusiastic,Yes,Piano for 4 years.,4,rock,jazz,Always,Never,Never,Always,Never,Always,Always,Rarely,Never,Always,Sometimes,Rarely,Rarely,Always,Some of the time,A little of the time,None of the time,A little of the time,A little of the time,A little of the time,Some of the time,A little of the time,A little of the time,None of the time,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,I think my music use pattern's been unchanged for at least last 5 years.,I feel more or less the same.,13,25,20,4.5,3.75,2.75,4.75,3
2019/03/26 7:27:59 PM GMT+5:30,I Agree,87a3406d23605e198ecd38e6d354da2f,Male,27,Bachelor's degree,Latvia,Enthusiastic,No,,3,rock,rock,Always,Rarely,Sometimes,Often,Never,Often,Sometimes,Rarely,Never,Often,Never,Rarely,Rarely,Often,A little of the time,Some of the time,None of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,A little of the time,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,"I have discovered different genres of music than just metal, but it hasn't changed that much since the age of 16",I feel more or less the same.,14,19,16,3.75,3.75,1.75,2.75,3
2019/03/26 7:45:48 PM GMT+5:30,I Agree,003534c470fd624743ee3f7acef28a53,Male,18,High School graduate,Russia,Enthusiastic,No,,10,rock,rock,Always,Sometimes,Never,Always,Rarely,Often,Always,Never,Sometimes,Rarely,Never,Never,Never,Always,Some of the time,A little of the time,A little of the time,A little of the time,Some of the time,None of the time,Some of the time,Some of the time,Some of the time,Most of the time,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,"I started listening to more ""heavy"" music genres, like post-hardcore, metalcore and some kinds of extreme metal.",I feel worse now,13,21,26,3.5,4,1.25,4.25,3.75
2019/03/26 7:46:43 PM GMT+5:30,I Agree,6bd3f9fce4102470bfcb8689ad23dc28,Male,18,High School graduate,United States,Moderate,No,,1,Pop,pop,Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,All of the time,Some of the time,Some of the time,A little of the time,Most of the time,Some of the time,A little of the time,Most of the time,None of the time,None of the time,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,"I listen to more, but relatively the same genres overall. ",I feel more or less the same.,13,15,28,2.25,2.75,2.25,1.25,2.5
2019/03/26 7:58:37 PM GMT+5:30,I Agree,82f520f12b72d7dc9acbe394013f65fe,Male,26,Bachelor's degree,United States,Enthusiastic,Yes,"Piano, 20 years",1.5,rock,pop,Sometimes,Never,Never,Always,Never,Always,Sometimes,Never,Never,Often,Never,Rarely,Never,Always,A little of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,I try to listen to music as much as I can,I feel better now,9,22,15,5,2.75,3.25,4.25,1.75
2019/03/26 8:16:06 PM GMT+5:30,I Agree,f3cae31856590e04a4957c2824deceb6,Male,22,High School graduate,United States,Enthusiastic,Yes,"piano, ~15 years",1,Mixed,rock,Sometimes,Sometimes,Often,Often,Sometimes,Often,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Often,Most of the time,Some of the time,Some of the time,Some of the time,A little of the time,None of the time,Most of the time,Most of the time,Some of the time,Some of the time,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Increased probably?,I feel more or less the same.,21,18,30,3.25,2.5,1.25,3,4.5
2019/03/26 8:16:13 PM GMT+5:30,I Agree,288a99cfc51180000e8e73897ab3db72,Male,21,High School graduate,Netherlands,Enthusiastic,Yes,Drums (2 years),5,rock,rock,Often,Rarely,Rarely,Often,Rarely,Often,Sometimes,Never,Rarely,Often,Sometimes,Never,Never,Often,Some of the time,Some of the time,A little of the time,A little of the time,Some of the time,A little of the time,Some of the time,A little of the time,A little of the time,A little of the time,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,I now review music as well. ,I feel better now,14,19,24,4.5,3.5,2,4.5,2.75
2019/03/26 8:21:00 PM GMT+5:30,I Agree,cc6f439366c6bf9de6817def867affab,Male,29,Bachelor's degree,United States,Enthusiastic,No,,8,rock,pop,Always,Sometimes,Never,Always,Never,Often,Always,Never,Never,Often,Never,Never,Never,Often,A little of the time,A little of the time,None of the time,None of the time,Some of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,stayed the same,I feel more or less the same.,10,22,14,5,2.75,3.75,3.5,2.25
2019/03/26 8:52:14 PM GMT+5:30,I Agree,7235bbb45f31b95a0bf5bd7385722059,Male,35,Master's degree,Finland,Enthusiastic,Yes,Guitar (about 1 year as a child),1,Rock,jazz,Sometimes,Rarely,Sometimes,Often,Rarely,Often,Often,Sometimes,Never,Sometimes,Never,Rarely,Never,Often,Some of the time,A little of the time,None of the time,None of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,None of the time,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,"Dropped about a quarter (from well over 20,000 songs listened in 2017 to a little over 5,000 songs listened in 2018, according to last.fm)",I feel better now,15,19,17,4.75,3.5,1.25,3.5,2
2019/03/26 10:00:54 PM GMT+5:30,I Agree,68a60b59156a5b66a8debbf30c0eda8d,Male,18,High School graduate,Sweden,Enthusiastic,Yes,"Piano, 13 years",2,rock,Mixed,Often,Never,Never,Often,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Never,Often,Some of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,"I listened to half as much music in 2018 as in 2017 or 2016. I still listen to the same genres, but I've also started listening to some old albums my parents listened to when I was a kid",I feel worse now,11,17,14,4,4.25,3,4.75,1.75
2019/03/26 10:22:15 PM GMT+5:30,I Agree,cdf4b68937199326e807fe95a41c88ec,Male,27,Master's degree,Denmark,Enthusiastic,No,,2,rock,rock,Always,Rarely,Rarely,Often,Never,Always,Always,Never,Never,Often,Never,Never,Never,Always,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,Some of the time,Most of the time,All of the time,Some of the time,Most of the time,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,I have switched to listening to black metal almost exclusively. I listen to discographies in chronological order. I have grown very fond of order. This may be the result of me losing control in other aspects of my life - mostly my job situation. Music helps gives me some control and relaxes my neurotic tendencies when the stress of not having work gets too much.,I feel worse now,10,23,35,3.25,4.75,2.5,2,4.5
2019/03/26 10:48:20 PM GMT+5:30,I Agree,6993510ffccb306f4d70ae1466e5e205,Male,20,High School graduate,Sweden,Enthusiastic,Yes,"Guitar, 3 years",14,rock,jazz,Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Always,Often,Often,Sometimes,Often,Rarely,Often,Most of the time,Some of the time,A little of the time,Most of the time,Some of the time,A little of the time,Most of the time,Most of the time,Some of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,"Been about the same, a lot of depressive music. Have a lot of ups and downs so my pattern changes suddenly a lot. Have been listening to more relaxing/chill music over the last year tho.",I feel more or less the same.,28,19,32,4,3.5,1.75,4.25,3.5
2019/03/26 11:09:52 PM GMT+5:30,I Agree,68197aaeaea55f1b43db1ec77d0c0ed9,Male,25,Bachelor's degree,United States,Enthusiastic,Yes,piano,6,rock,jazz,Always,Rarely,Sometimes,Often,Never,Always,Always,Sometimes,Never,Always,Rarely,Often,Always,Often,Most of the time,A little of the time,None of the time,A little of the time,Some of the time,A little of the time,A little of the time,Some of the time,None of the time,A little of the time,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Slowed down somewhat,I feel more or less the same.,21,23,22,5,2.75,2,2.75,3.5
2019/03/26 11:19:55 PM GMT+5:30,I Agree,f3907dc6c3f7f92de153d19cc5504e31,Male,27,Bachelor's degree,Italy,Enthusiastic,Yes,classic guitar for 8 years,1.5,rock,pop,Sometimes,Never,Never,Often,Never,Often,Often,Rarely,Never,Always,Sometimes,Sometimes,Never,Rarely,A little of the time,Some of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,I don't think it's changed,I feel more or less the same.,13,19,17,5,4.25,4.25,4.5,2.75
2019/03/26 11:25:36 PM GMT+5:30,I Agree,1cbb5549b6816041d17d7d5c66e0a00b,Female,28,Bachelor's degree,United Kingdom,Enthusiastic,Yes,Six years of classical guitar and then self-taught bass guitar and piano. ,3,Mixed,jazz,Often,Sometimes,Always,Often,Sometimes,Sometimes,Often,Often,Rarely,Often,Sometimes,Sometimes,Sometimes,Rarely,Most of the time,Some of the time,A little of the time,Some of the time,Some of the time,A little of the time,Some of the time,Most of the time,Some of the time,Most of the time,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Listened more frequently at work due to stress. ,I feel more or less the same.,26,17,31,3.75,1.75,1.75,4,3.75
2019/03/26 11:30:50 PM GMT+5:30,I Agree,cbdf8c13ba2503c48177e7e9326b6a99,Male,21,Bachelor's degree,Netherlands,Enthusiastic,Yes,"Violin, 15 years",3,classical,classical,Sometimes,Never,Rarely,Often,Never,Often,Often,Never,Never,Always,Rarely,Never,Never,Often,Some of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,I now spend more time listening to and making music than I did one year ago. ,I feel more or less the same.,10,21,14,4.75,3.25,2.25,4.25,1.5
2019/03/26 11:45:23 PM GMT+5:30,I Agree,964bf523915c993f58f65ed9ac1f558c,Male,18,High School graduate,United States,Enthusiastic,Yes,"Saxophone, 3 years. ",3,rock,classical,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Often,Often,Never,Often,All of the time,All of the time,Some of the time,All of the time,All of the time,Some of the time,Most of the time,A little of the time,All of the time,All of the time,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,The music I listen to has gotten a lot more somber and melancholic. ,I feel worse now,21,15,42,3.75,2,1,2.25,4.75
2019/03/27 12:00:58 AM GMT+5:30,I Agree,0c94a6c0e95b5201e0263fa4b3544332,Male,19,High School graduate,Norway,Enthusiastic,Yes,Multi-Instrumentalist,1,classical,classical,Often,Sometimes,Often,Sometimes,Sometimes,Always,Often,Sometimes,Sometimes,Often,Often,Often,Often,Always,Most of the time,Most of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,A lot,I feel more or less the same.,28,21,42,4.5,2.5,3.75,5,3.5
2019/03/27 12:28:39 AM GMT+5:30,I Agree,445dcc0619da420e5bdebe22ae3ba652,Male,20,High School graduate,Sweden,Enthusiastic,No,,5,Pop,rock,Always,Rarely,Sometimes,Always,Rarely,Often,Always,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Most of the time,Some of the time,A little of the time,Most of the time,Some of the time,None of the time,Some of the time,A little of the time,Some of the time,Some of the time,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Not a lot,I feel worse now,18,21,28,3.75,3,3.25,4.5,3.5
